Left context,Center,Right context,Created,Sphere,Type,Full context
Ты́, ка́к ,пое́дешь- то? ,1971,"кино, нехудожественная","кинокомедия, экранизация","Ты́ ка́к пое́дешь- то?  [Виктор Титов, Евгений Петров, Илья Ильф. Ехали в трамвае Ильф и Петров, к/ф (1971)] [омонимия не снята]"
А, ка́к ,,1971,"кино, нехудожественная","кинокомедия, экранизация","А ка́к?  [Виктор Титов, Евгений Петров, Илья Ильф. Ехали в трамвае Ильф и Петров, к/ф (1971)] [омонимия не снята]"
э́то… зна́ешь / чё я смотре́л?, Ка́к ,это?   ,1971,"кино, нехудожественная","кинокомедия, экранизация","э́то… зна́ешь / чё я смотре́л? Ка́к это?    [Виктор Титов, Евгений Петров, Илья Ильф. Ехали в трамвае Ильф и Петров, к/ф (1971)] [омонимия не снята]"
Ну э́то… ну, ка́к ,объясни́ть… Ну ты́ / коро́че / по́мнишь / ка́к ,1971,"кино, нехудожественная","кинокомедия, экранизация","Ну э́то… ну ка́к объясни́ть… Ну ты́ / коро́че / по́мнишь / ка́к мы смотре́ли?    [Виктор Титов, Евгений Петров, Илья Ильф. Ехали в трамвае Ильф и Петров, к/ф (1971)] [омонимия не снята]"
Или ничего́ э́того не́ было?, Ка́к ,это?   ,1971,"кино, нехудожественная","кинокомедия, экранизация","Или ничего́ э́того не́ было? Ка́к это?    [Виктор Титов, Евгений Петров, Илья Ильф. Ехали в трамвае Ильф и Петров, к/ф (1971)] [омонимия не снята]"
Ну́ так…, ка́к ,,1962,"кино, нехудожественная",киномелодрама,"Ну́ так… ка́к?  [Анатолий Гребнев, Рувим Фраерман, Юрий Карасик. Дикая собака динго (1962)] [омонимия не снята]"
Ребя́та?, Ка́к ,вы́гляжу? ,1962,"кино, нехудожественная",киномелодрама,"Ребя́та? Ка́к вы́гляжу?  [Анатолий Гребнев, Рувим Фраерман, Юрий Карасик. Дикая собака динго (1962)] [омонимия не снята]"
А, ка́к ,ты́ ду́маешь / у меня́ е́сть ша́нс ,1962,"кино, нехудожественная",киномелодрама,"А ка́к ты́ ду́маешь / у меня́ е́сть ша́нс обойти́ тебя́?    [Анатолий Гребнев, Рувим Фраерман, Юрий Карасик. Дикая собака динго (1962)] [омонимия не снята]"
Ну и пу́сть., Как ,гора́ с пле́ч свали́лась.,1962,"кино, нехудожественная",киномелодрама,"Ну и пу́сть. Как гора́ с пле́ч свали́лась. [Анатолий Гребнев, Рувим Фраерман, Юрий Карасик. Дикая собака динго (1962)] [омонимия не снята]"
А взро́слые, как ,де́ти.,1962,"кино, нехудожественная",киномелодрама,"А взро́слые как де́ти. [Анатолий Гребнев, Рувим Фраерман, Юрий Карасик. Дикая собака динго (1962)] [омонимия не снята]"
забо́ты / боле́зни / а та́к они́, как ,де́ти.,1962,"кино, нехудожественная",киномелодрама,"И у взро́слых семья́ / забо́ты / боле́зни / а та́к они́ как де́ти. [Анатолий Гребнев, Рувим Фраерман, Юрий Карасик. Дикая собака динго (1962)] [омонимия не снята]"
Да я́ слы́шал /, как ,они́ про таре́лку чё - то база́рили.,2007,"кино, нехудожественная",кинодрама,"Да я́ слы́шал / как они́ про таре́лку чё - то база́рили. [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята]"
Слы́шь / тебя́, ка́к ,зову́т?   ,2007,"кино, нехудожественная",кинодрама,"Слы́шь / тебя́ ка́к зову́т?    [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята]"
, Ка́к ,э́то они́ на на́с та́к бы́стро ,2007,"кино, нехудожественная",кинодрама,"Ка́к э́то они́ на на́с та́к бы́стро вы́шли?    [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята]"
на на́с та́к бы́стро вы́шли?, Ка́к ,вы́шли? ,2007,"кино, нехудожественная",кинодрама,"на на́с та́к бы́стро вы́шли? Ка́к вы́шли?  [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята]"
Ну а, ка́к ,ты́ ма́сло бу́дешь залива́ть?   ,2007,"кино, нехудожественная",кинодрама,"Ну а ка́к ты́ ма́сло бу́дешь залива́ть?    [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята]"
Ну расскажи́ / наприме́р /, как ,ты́ по́днял на́ ноги це́лую герма́нскую ,2005,"кино, нехудожественная",киномелодрама,"Ну расскажи́ / наприме́р / как ты́ по́днял на́ ноги це́лую герма́нскую диви́зию СС.   [Максим Коростышевский, Наталья Назарова. Дура, к/ф (2005)] [омонимия не снята]"
Що́ / ребя́та / никто́ не зна́ет /, как ,Са́ша с Уральма́ша? ,2005,"кино, нехудожественная",киномелодрама,"Що́ / ребя́та / никто́ не зна́ет / как Са́ша с Уральма́ша?  [Максим Коростышевский, Наталья Назарова. Дура, к/ф (2005)] [омонимия не снята]"
А, ка́к ,э́то сде́лать / када́ Са́ша бежи́т в ,2005,"кино, нехудожественная",киномелодрама,"А ка́к э́то сде́лать / када́ Са́ша бежи́т в ата́ку без ору́жия?  [Максим Коростышевский, Наталья Назарова. Дура, к/ф (2005)] [омонимия не снята]"
